caseid,weight,fin_cf,rate_econ,have_house,thi_dis,edu,race,worse_fin_cf,higher_thi_dis
1,12033.683,5,1,3,2,4,1,0,1
2,21579.211,3,2,2,3,4,1,0,0
3,20043.893,3,2,3,3,3,3,0,0
4,21793.367,2,1,3,3,4,1,1,0
5,13900.407,2,2,1,1,4,1,1,1
6,19712.664,2,2,1,3,2,1,1,0
7,21304.402,2,1,3,3,4,1,1,0
8,22073.646,3,1,3,3,3,2,0,0
9,19689.164,3,2,3,2,3,1,0,1
10,11108.916,3,2,3,3,4,1,0,0
11,22386.393,3,1,4,2,2,1,0,1
12,12868.103,1,1,1,2,4,1,1,1
13,9879.7236,4,3,1,3,4,1,0,0
14,14052.851,2,3,1,1,4,1,1,1
15,22386.393,3,1,2,3,2,1,0,0
16,5007.2256,2,2,2,3,4,5,1,0
17,24377.459,2,1,1,3,2,1,1,0
18,11108.916,2,2,2,2,4,1,1,1
19,14146.183,1,1,2,3,3,1,1,0
20,23769.811,3,3,3,3,3,1,0,0
21,19419.75,3,2,1,3,3,1,0,0
22,44091.691,4,3,1,2,3,4,0,1
23,26564.053,3,1,2,3,1,5,0,0
24,13150.606,2,1,2,3,3,1,1,0
25,18746.375,2,2,1,3,2,1,1,0
26,15327.306,3,2,1,3,3,1,0,0
27,18880.35,2,1,2,3,3,1,1,0
28,36242.777,3,2,2,3,2,1,0,0
29,24602.148,3,2,1,3,2,2,0,0
30,16302.766,4,2,1,3,4,1,0,0
31,26867.234,3,3,1,2,2,2,0,1
32,33308.879,5,3,1,3,3,5,0,0
33,22420.684,5,3,2,3,3,3,0,0
34,16834.701,5,3,3,3,4,3,0,0
35,42203.738,4,2,1,2,2,3,0,1
36,27385.238,2,1,3,2,2,2,1,1
37,9731.6924,2,1,1,3,4,1,1,0
38,10151.149,3,2,2,3,4,1,0,0
39,13758.059,2,1,1,3,2,1,1,0
40,15092.051,2,2,1,3,4,1,1,0
41,12953.565,2,2,2,3,3,1,1,0
42,21050.314,3,3,1,2,4,2,0,1
43,15464.774,2,2,2,3,3,1,1,0
44,20250.246,3,1,2,3,2,1,0,0
45,16098.93,3,2,3,2,2,1,0,1
46,78692.727,3,3,1,2,2,4,0,1
47,18038.762,2,2,3,2,3,1,1,1
48,16302.766,5,2,1,3,4,1,0,0
49,15091.212,1,1,2,4,3,1,1,0
50,11377.064,2,2,2,2,4,4,1,1
51,23235.17,3,3,3,3,2,2,0,0
52,8441.2197,3,2,2,1,4,1,0,1
53,12111.187,2,2,2,2,2,1,1,1
54,28952.73,2,2,3,4,3,4,1,0
55,20185.445,1,1,2,3,4,4,1,0
56,34027.574,2,1,4,3,2,1,1,0
57,44091.691,4,2,1,3,3,4,0,0
58,16844.592,3,3,2,1,3,1,0,1
59,13095.626,2,2,1,3,3,1,1,0
60,15280.206,3,1,1,3,2,1,0,0
61,16562.852,3,2,1,3,4,1,0,0
62,15472.874,2,2,1,2,4,1,1,1
63,16329.075,3,3,3,2,4,1,0,1
64,15525.198,2,1,1,3,4,1,1,0
65,13063.843,3,2,2,3,4,1,0,0
66,28383.135,3,1,1,2,2,1,0,1
67,13967.336,3,1,1,3,2,1,0,0
68,23346.051,1,1,1,3,2,1,1,0
69,15280.206,2,2,2,3,2,1,1,0
70,13914.758,2,2,1,3,4,1,1,0
71,23445.154,1,1,1,3,2,1,1,0
72,17523.563,3,2,3,2,4,1,0,1
73,16733.457,3,2,3,2,4,1,0,1
74,14140.936,2,2,2,3,4,1,1,0
75,19484.121,1,2,4,3,4,3,1,0
76,22689.51,1,1,1,2,3,1,1,1
77,17821.385,3,1,1,3,3,1,0,0
78,12153.106,5,1,2,3,4,1,0,0
79,24619.387,2,1,2,3,2,1,1,0
80,10512.388,3,3,1,2,4,1,0,1
81,43044.988,3,2,1,3,3,4,0,0
82,20411.42,3,2,3,3,2,1,0,0
83,13063.843,3,2,2,3,4,1,0,0
84,15321.62,3,2,1,2,4,1,0,1
85,13063.843,2,1,1,3,4,1,1,0
86,20174.898,4,3,1,1,4,1,0,1
87,18265.902,2,2,4,3,1,1,1,0
88,21793.367,3,2,2,2,4,1,0,1
89,16814.793,3,3,2,2,4,1,0,1
90,24347.811,5,3,2,3,3,1,0,0
91,18880.35,2,1,1,2,3,1,1,1
92,20089.383,3,2,2,2,3,1,0,1
93,6372.5698,3,2,4,2,4,5,0,1
94,28784.359,3,2,1,2,2,1,0,1
95,21493.207,3,2,1,2,4,2,0,1
96,15321.62,4,2,2,1,4,1,0,1
97,16142.563,3,2,2,3,4,1,0,0
98,30155.299,3,1,4,3,2,1,0,0
99,27746.488,4,3,1,2,4,1,0,1
100,14149.361,2,1,2,3,3,1,1,0
101,25652.383,2,1,2,3,3,1,1,0
102,26883.531,3,3,2,2,4,1,0,1
103,13813.465,2,1,1,3,3,1,1,0
104,15529.7,1,1,1,1,3,1,1,1
106,21793.367,3,2,2,2,4,1,0,1
107,21515.83,2,3,2,3,4,1,1,0
108,18596.275,3,2,2,3,2,1,0,0
109,8930.4961,2,1,1,3,4,1,1,0
110,9028.7881,1,1,2,3,4,1,1,0
111,27473.832,4,1,2,3,4,1,0,0
112,25577.039,4,1,1,3,3,1,0,0
113,16098.93,3,1,3,3,2,1,0,0
114,9028.7881,2,2,3,5,4,1,1,0
115,21579.211,2,1,1,3,4,1,1,0
116,23429.68,3,1,1,3,4,1,0,0
117,19612.475,2,1,1,3,3,1,1,0
118,39606.66,3,2,1,1,4,4,0,1
119,10953.965,3,2,2,2,4,2,0,1
120,16302.766,2,1,2,3,4,1,1,0
121,32659.641,3,2,1,3,3,1,0,0
122,17159.066,1,1,4,1,4,5,1,1
123,30885.916,3,3,3,3,2,2,0,0
124,10739.538,2,1,2,3,4,1,1,0
125,27029.428,2,2,1,3,3,1,1,0
126,14715.715,3,3,1,3,2,1,0,0
127,37098.828,4,1,1,3,4,2,0,0
128,19790.416,2,2,1,4,4,1,1,0
129,16308.814,3,2,1,3,3,1,0,0
130,21612.271,1,1,1,3,2,1,1,0
131,17173.871,3,2,1,3,4,2,0,0
132,16302.766,1,1,1,3,4,1,1,0
133,13758.059,4,2,3,3,2,1,0,0
134,12033.683,3,2,2,1,4,1,0,1
135,11435.657,2,1,1,3,4,3,1,0
136,9118.3916,3,3,1,3,4,1,0,0
137,15700.013,3,2,1,2,3,1,0,1
138,23602.084,1,1,3,1,2,1,1,1
139,12225.056,3,2,2,3,3,1,0,0
140,12641.871,3,2,3,3,4,1,0,0
141,10151.149,3,2,1,2,4,1,0,1
142,32228.24,2,2,1,2,2,3,1,1
143,10965.274,3,3,2,2,4,2,0,1
144,16200.378,2,1,2,3,3,1,1,0
145,13758.059,4,1,2,3,2,1,0,0
146,17903.535,3,1,2,3,2,1,0,0
147,22087.861,3,2,4,3,4,4,0,0
149,15954.883,3,3,2,3,3,2,0,0
150,36936.91,5,2,2,3,2,3,0,0
151,20771.986,2,2,1,3,4,3,1,0
152,13704.39,3,3,1,3,3,1,0,0
153,18215.834,5,3,1,1,4,1,0,1
154,16098.93,3,1,3,3,2,1,0,0
155,10965.495,3,2,2,1,4,1,0,1
156,29857.807,3,2,2,3,2,1,0,0
157,4064.5996,3,2,2,2,4,5,0,1
158,13164.094,3,2,1,2,4,3,0,1
159,14149.361,2,1,1,3,3,1,1,0
160,14981.713,1,1,3,3,2,1,1,0
161,21883.508,4,2,1,3,4,1,0,0
162,3666.6387,2,1,2,2,4,5,1,1
163,19917.973,2,1,2,3,4,1,1,0
164,6774.3701,2,1,2,3,4,1,1,0
165,13992.727,3,2,2,3,3,1,0,0
166,17215.234,2,2,1,3,2,1,1,0
167,14104.097,2,1,2,3,3,1,1,0
168,20846.656,3,3,2,2,4,1,0,1
169,23443.414,3,2,3,3,2,1,0,0
170,19771.826,2,2,2,2,3,1,1,1
171,16899.523,3,3,1,3,4,1,0,0
173,20185.445,2,2,1,2,4,4,1,1
174,12953.565,4,1,2,3,3,1,0,0
175,13289.896,2,2,3,2,4,1,1,1
176,15923.669,2,1,1,3,2,1,1,0
177,11881.049,3,2,2,3,4,1,0,0
178,16361.154,3,3,1,3,3,1,0,0
180,31689.74,2,2,1,3,2,1,1,0
181,16705.389,3,2,1,1,3,1,0,1
182,16098.93,3,1,1,3,2,1,0,0
183,24781.555,3,1,1,3,3,1,0,0
184,11435.657,3,1,2,3,4,3,0,0
185,15051.257,3,1,1,3,2,1,0,0
186,21279.854,4,1,3,1,4,1,0,1
187,29627.463,3,2,1,3,2,1,0,0
188,19493.889,3,2,1,1,4,1,0,1
189,16258.698,2,3,1,2,2,1,1,1
190,16853.383,2,1,4,3,4,1,1,0
191,16705.389,2,2,2,1,3,1,1,1
192,20472.328,2,3,2,4,2,1,1,0
193,49160.215,4,2,1,3,2,2,0,0
194,32659.641,3,2,1,4,3,1,0,0
195,14140.936,3,1,4,3,4,1,0,0
196,36661.527,4,2,3,3,2,1,0,0
197,7723.2212,2,2,2,3,4,1,1,0
198,21983.541,5,2,1,3,3,1,0,0
199,17215.234,3,3,2,3,2,1,0,0
200,17443.76,1,1,2,3,4,1,1,0
201,14001.978,2,1,1,3,4,1,1,0
203,16705.389,2,2,2,3,3,1,1,0
204,26726.654,3,2,1,3,3,1,0,0
205,23922.635,4,2,1,3,4,1,0,0
206,13992.727,2,1,2,2,3,1,1,1
207,28220.641,2,1,1,4,4,1,1,0
208,16899.523,1,1,1,3,4,1,1,0
209,16860.326,3,2,2,2,2,1,0,1
210,13294.827,2,1,1,3,3,1,1,0
211,15321.62,3,2,1,3,4,1,0,0
212,18596.275,4,2,3,3,2,1,0,0
213,18880.35,3,2,1,3,3,1,0,0
214,17668.77,3,2,1,3,2,1,0,0
215,22146.035,5,2,1,2,4,1,0,1
216,8930.8447,2,2,2,2,4,1,1,1
217,22146.035,3,2,2,3,4,1,0,0
218,22608.561,3,2,1,3,2,1,0,0
219,23429.68,3,2,1,3,4,1,0,0
220,18746.375,3,3,1,2,2,1,0,1
221,10151.149,1,1,1,4,4,1,1,0
222,21306.266,3,1,3,1,2,1,0,1
223,30385.99,2,1,3,3,1,2,1,0
224,27029.389,3,2,1,3,2,1,0,0
225,15092.051,2,2,1,2,4,1,1,1
226,16705.389,2,2,2,3,3,1,1,0
227,22608.561,2,1,1,3,2,1,1,0
228,20481.783,4,2,1,2,4,1,0,1
229,12225.056,3,2,1,5,3,1,0,0
230,27029.389,3,1,2,3,2,1,0,0
231,14052.851,2,1,1,3,4,1,1,0
232,19240.246,3,2,3,2,2,1,0,1
233,19158.898,2,2,2,3,4,4,1,0
234,21793.367,3,3,1,1,4,1,0,1
235,19832.965,3,2,1,3,2,1,0,0
236,19035.096,1,1,4,3,1,1,1,0
237,15644.491,3,1,2,3,4,1,0,0
238,15529.7,3,1,1,3,3,1,0,0
239,19612.475,2,2,2,3,3,1,1,0
240,13289.896,3,2,2,3,4,1,0,0
241,11523.773,2,2,2,3,4,1,1,0
242,28968.035,1,1,3,2,2,1,1,1
243,6372.5698,3,2,2,2,4,5,0,1
244,8930.4961,3,2,2,3,4,1,0,0
245,20051.252,3,2,2,3,2,1,0,0
246,35768.918,2,2,3,3,3,1,1,0
247,29418.299,3,2,3,3,1,1,0,0
248,29175.771,3,2,3,3,1,1,0,0
249,13577.597,3,1,1,3,3,1,0,0
250,20617.813,3,3,1,2,3,1,0,1
251,23413.66,3,3,2,3,3,1,0,0
252,23677.578,1,1,1,3,3,1,1,0
253,22120.082,3,2,3,2,3,2,0,1
254,33835.277,3,1,3,3,2,2,0,0
255,19475.576,2,2,1,3,3,1,1,0
256,27746.488,3,2,2,3,4,1,0,0
257,25296.52,4,1,4,3,3,1,0,0
258,9626.123,3,2,3,2,4,1,0,1
259,21736.516,3,2,3,3,3,3,0,0
260,18558.998,3,2,1,3,3,2,0,0
261,28104.223,2,1,2,3,2,1,1,0
262,6995.186,1,1,1,3,4,5,1,0
263,31748.787,2,3,2,3,2,1,1,0
264,20250.246,2,1,2,3,2,1,1,0
265,37592.434,3,2,1,3,4,4,0,0
266,15529.7,2,2,2,3,3,1,1,0
267,18657.678,3,2,2,3,2,1,0,0
268,27512.641,3,1,1,3,1,1,0,0
269,11325.285,1,1,2,3,3,1,1,0
270,24781.555,4,2,2,3,3,1,0,0
271,9019.4756,3,3,1,3,4,1,0,0
272,20308.889,3,3,1,2,3,1,0,1
273,19843.193,2,3,2,3,3,1,1,0
274,17891.557,3,2,2,2,4,1,0,1
275,14140.936,3,4,2,3,4,1,0,0
276,20891.762,3,2,2,3,3,1,0,0
277,27414.273,2,2,3,3,2,2,1,0
278,28651.277,4,2,1,3,2,1,0,0
279,10305.562,3,1,1,3,4,1,0,0
280,13090.769,2,1,2,3,4,1,1,0
281,10440.352,3,3,4,3,4,1,0,0
282,20117.98,2,1,1,3,3,1,1,0
283,33949.859,2,1,3,3,3,1,1,0
284,13900.407,3,2,2,3,4,1,0,0
285,26130.525,4,2,1,3,4,2,0,0
286,25577.039,3,2,1,3,3,1,0,0
287,15736.043,3,2,2,3,3,1,0,0
288,10649.333,3,2,2,3,3,1,0,0
289,14467.593,3,1,3,3,1,1,0,0
290,37592.434,4,3,2,3,4,4,0,0
291,21053.512,4,3,3,2,1,1,0,1
292,19454.178,3,2,2,3,2,1,0,0
293,10965.495,2,1,2,2,4,1,1,1
294,20254.25,2,1,1,3,3,1,1,0
295,19790.416,4,1,1,3,4,1,0,0
296,17167.285,2,1,1,2,3,2,1,1
297,11703.031,1,1,1,3,4,1,1,0
298,15644.491,3,2,2,2,4,1,0,1
299,13613.973,2,2,1,3,4,1,1,0
300,15321.62,3,2,1,3,4,1,0,0
301,16844.592,1,1,1,1,3,1,1,1
302,15321.62,3,2,1,2,4,1,0,1
303,19501.123,3,2,1,3,3,1,0,0
304,21065.541,4,2,3,3,3,1,0,0
305,16258.698,3,2,2,3,2,1,0,0
306,20699.957,1,2,2,3,2,1,1,0
307,18693.836,4,3,1,3,3,1,0,0
308,30998.709,4,2,1,3,3,1,0,0
309,25685.914,3,2,1,2,4,1,0,1
310,11248.127,3,2,2,3,4,1,0,0
311,18746.375,3,2,1,3,2,1,0,0
312,27765.064,1,2,2,1,2,1,1,1
313,16639.242,4,1,1,2,2,1,0,1
